index,handle,object_name,layer,length,area,volume
0,1E22,AcDbCircle,CELDA,,13986684.653047116,
1,1E23,AcDbBlockReference,COTAS,,,
2,1E24,AcDbBlockReference,COTAS,,,
3,1E25,AcDbBlockReference,COTAS,,,
4,1E26,AcDbBlockReference,COTAS,,,
5,1E27,AcDbBlockReference,COTAS,,,
6,1E28,AcDbBlockReference,COTAS,,,
7,1E29,AcDbBlockReference,COTAS,,,
8,1E2A,AcDbBlockReference,COTAS,,,
9,1E2B,AcDbBlockReference,COTAS,,,
10,1E2C,AcDbBlockReference,COTAS,,,
11,1E2D,AcDbBlockReference,COTAS,,,
12,1E2E,AcDbBlockReference,COTAS,,,
13,1E2F,AcDbBlockReference,COTAS,,,
14,1E30,AcDbBlockReference,COTAS,,,
15,1E31,AcDbBlockReference,COTAS,,,
16,1E32,AcDbBlockReference,COTAS,,,
17,1E33,AcDbBlockReference,COTAS,,,
18,1E34,AcDbBlockReference,COTAS,,,
19,1E35,AcDbBlockReference,COTAS,,,
20,1E36,AcDbBlockReference,COTAS,,,
21,1E37,AcDbBlockReference,COTAS,,,
22,1E38,AcDbBlockReference,COTAS,,,
23,1E39,AcDbBlockReference,COTAS,,,
24,1E3A,AcDbBlockReference,COTAS,,,
25,1E3B,AcDbBlockReference,COTAS,,,
26,1E3C,AcDbBlockReference,COTAS,,,
27,1E3D,AcDbBlockReference,COTAS,,,
28,1E3E,AcDbBlockReference,COTAS,,,
29,1E3F,AcDbBlockReference,COTAS,,,
30,1E40,AcDbBlockReference,COTAS,,,
31,1E41,AcDbBlockReference,COTAS,,,
32,1E42,AcDbBlockReference,COTAS,,,
33,1E43,AcDbBlockReference,COTAS,,,
34,1E44,AcDbBlockReference,COTAS,,,
35,1E45,AcDb3dSolid,CAÑ 8in SCH 160,,,3798890.1183603182
36,1E46,AcDb3dSolid,FLG BL 12in CL150,,,5514168.135156711
37,1E49,AcDbBlockReference,COTAS,,,
38,1E4A,AcDbBlockReference,COTAS,,,
39,1E4B,AcDbBlockReference,COTAS,,,
40,1E4C,AcDbBlockReference,COTAS,,,
41,1E4D,AcDbBlockReference,COTAS,,,
42,1E4E,AcDbBlockReference,COTAS,,,
43,1E4F,AcDbBlockReference,COTAS,,,
44,1E50,AcDbBlockReference,COTAS,,,
45,1E51,AcDbBlockReference,COTAS,,,
46,1E52,AcDbBlockReference,COTAS,,,
47,1E53,AcDbBlockReference,COTAS,,,
48,1E54,AcDbBlockReference,COTAS,,,
49,1E55,AcDb3dSolid,PL 6 MM,,,131606.31013455856
50,1E58,AcDbBlockReference,COTAS,,,
51,1E59,AcDbBlockReference,COTAS,,,
52,1E5A,AcDbBlockReference,COTAS,,,
53,1E5B,AcDbBlockReference,COTAS,,,
54,1E5C,AcDbBlockReference,COTAS,,,
55,1E5D,AcDbBlockReference,COTAS,,,
