task_code,task_name,status,type,wbs,early_start,early_end,total_float_hr,remain_hr,driving_path
A1640,Planos de Fabricación,TK_NotStart,TT_Task,Suministro conjuntos sistema de agua de lavado,2026-02-02 08:00,2026-02-13 18:00,0.0,90.0,True
A2640,Dos bandejas en Minera Spence a más tardar el 06-abr-2026.,TK_NotStart,TT_FinMile,Hitos de Construcción,2026-04-06 18:00,2026-04-06 18:00,0.0,0.0,True
A2650,Corte y Fabricación de Vigas y Perfil Z,TK_NotStart,TT_Task,Bastidor,2026-02-13 08:00,2026-02-20 18:00,0.0,54.0,True
A1660,Suminstro de Materiales,TK_NotStart,TT_Task,Suministro conjuntos sistema de agua de lavado,2026-02-05 08:00,2026-02-18 18:00,0.0,90.0,True
A2980,Corte y Fabricación de Vigas y Perfil Z,TK_NotStart,TT_Task,Bastidor,2026-02-20 08:00,2026-02-27 18:00,0.0,54.0,True
A3280,Corte y Fabricación de Vigas y Perfil Z,TK_NotStart,TT_Task,Bastidor,2026-02-27 08:00,2026-03-06 18:00,0.0,54.0,True
A3580,Corte y Fabricación de Vigas y Perfil Z,TK_NotStart,TT_Task,Bastidor,2026-03-06 08:00,2026-03-13 18:00,0.0,54.0,True
A3880,Corte y Fabricación de Vigas y Perfil Z,TK_NotStart,TT_Task,Bastidor,2026-03-13 08:00,2026-03-20 18:00,0.0,54.0,True
A3890,Corte y Fabricación de Consoldas Exteriores,TK_NotStart,TT_Task,Bastidor,2026-03-13 08:00,2026-03-16 18:00,0.0,18.0,True
A3900,Corte y Fabricación de Consoldas Centrales,TK_NotStart,TT_Task,Bastidor,2026-03-17 08:00,2026-03-18 18:00,0.0,18.0,True
A3910,"Corte y Fabricación Distribuidor 8""""",TK_NotStart,TT_Task,Bastidor,2026-03-19 08:00,2026-03-20 18:00,0.0,18.0,True
A3920,Armado y Remates de Soldadura Bastidor,TK_NotStart,TT_Task,Bastidor,2026-03-23 08:00,2026-03-24 18:00,0.0,18.0,True
A3930,"Inspección de soldadura (VT, LP si aplica)",TK_NotStart,TT_Task,Bastidor,2026-03-25 08:00,2026-03-25 18:00,0.0,9.0,True
A3940,Granallado / Preparación de Superficie,TK_NotStart,TT_Task,Bastidor,2026-03-26 08:00,2026-03-26 18:00,0.0,9.0,True
A3950,"Aplicación Capa Imprimante, Enlace y Terminación",TK_NotStart,TT_Task,Bastidor,2026-03-27 08:00,2026-03-31 18:00,0.0,27.0,True
A3960,Control de calidad (QC) e inspecciones,TK_NotStart,TT_Task,Bastidor,2026-04-01 08:00,2026-04-01 18:00,0.0,9.0,True
A3970,"Corte, perforado y conformado (fabricación del cuerpo) SS316L",TK_NotStart,TT_Task,Bandeja Perimetral (12 Un),2026-03-16 08:00,2026-03-19 18:00,0.0,36.0,True
A4020,Fabricación Baranda radial removible,TK_NotStart,TT_Task,Barandas (16 Un),2026-03-18 08:00,2026-03-26 18:00,0.0,63.0,True
A4030,"Aplicación Capa Imprimante, Enlace y Terminación",TK_NotStart,TT_Task,Barandas (16 Un),2026-03-27 08:00,2026-03-31 18:00,0.0,27.0,True
A4040,Control de calidad (QC) e inspecciones,TK_NotStart,TT_Task,Barandas (16 Un),2026-04-01 08:00,2026-04-01 18:00,0.0,9.0,True
A4050,Trazado y Corte de FRP,TK_NotStart,TT_Task,Parrilla de Piso (36 Un),2026-03-27 08:00,2026-03-31 18:00,0.0,27.0,True
A4060,Control de calidad (QC) e inspecciones,TK_NotStart,TT_Task,Parrilla de Piso (36 Un),2026-04-01 08:00,2026-04-01 18:00,0.0,9.0,True
A4070,Fabricación del cuerpo central (spool/cabezal),TK_NotStart,TT_Task,Manifold Distribuidor,2026-03-20 08:00,2026-03-23 18:00,0.0,18.0,True
A4080,Fabricación Brazos radiales (spools repetitivos),TK_NotStart,TT_Task,Manifold Distribuidor,2026-03-24 08:00,2026-03-24 18:00,0.0,9.0,True
A4090,Fabricación Conjunto válvula/boquilla (DET. 1-5),TK_NotStart,TT_Task,Manifold Distribuidor,2026-03-25 08:00,2026-03-25 18:00,0.0,9.0,True
A4100,Control de calidad (QC) e inspecciones,TK_NotStart,TT_Task,Manifold Distribuidor,2026-03-26 08:00,2026-03-26 18:00,0.0,9.0,True
A4160,Bastidor / estructura / Bandejas / Barandas / Parrillas FRP,TK_NotStart,TT_Task,Pre-armado en taller (armado en seco) / Despacho,2026-04-02 08:00,2026-04-03 18:00,0.0,18.0,True
A4170,Despacho,TK_NotStart,TT_Task,Pre-armado en taller (armado en seco) / Despacho,2026-04-06 08:00,2026-04-06 18:00,0.0,9.0,True
