Semana,Periodo_Inicio,Periodo_Fin,PV_DUR_dias_Semana,PV_DUR_dias_Acumulado,PV_DUR_%_Acum
1,2026-01-26,2026-02-01,0.0,0.0,0.0
2,2026-02-02,2026-02-08,10.33,10.33,2.7
3,2026-02-09,2026-02-15,17.08,27.41,7.17
4,2026-02-16,2026-02-22,35.91,63.33,16.56
5,2026-02-23,2026-03-01,60.83,124.15,32.47
6,2026-03-02,2026-03-08,71.08,195.23,51.06
7,2026-03-09,2026-03-15,71.49,266.72,69.76
8,2026-03-16,2026-03-22,66.16,332.88,87.07
9,2026-03-23,2026-03-29,38.33,371.21,97.09
10,2026-03-30,2026-04-05,10.67,381.88,99.88
11,2026-04-06,2026-04-12,0.42,382.29,99.99
