Semana,Inicio,Fin,PV_HH_Semana,PV_HH_Acumulado,PV_HH_%_Acum,PV_DUR_h_Semana,PV_DUR_h_Acumulado,PV_DUR_%_Acum,EV_HH_Semana_refW09,EV_DUR_h_Semana_refW09
1,2026-02-02,2026-02-09,82.0,82.0,2.57,82.0,82.0,2.57,73.96,73.96
2,2026-02-09,2026-02-16,119.41,201.41,6.3,119.41,201.41,6.3,75.58,75.58
3,2026-02-16,2026-02-23,281.03,482.44,15.1,281.03,482.44,15.1,84.45,84.45
4,2026-02-23,2026-03-02,500.58,983.02,30.77,500.58,983.02,30.77,0.0,0.0
5,2026-03-02,2026-03-09,593.96,1576.98,49.36,593.96,1576.98,49.36,0.0,0.0
6,2026-03-09,2026-03-16,602.96,2179.93,68.23,602.96,2179.93,68.23,0.0,0.0
7,2026-03-16,2026-03-23,565.32,2745.25,85.92,565.32,2745.25,85.92,0.0,0.0
8,2026-03-23,2026-03-30,338.14,3083.39,96.51,338.14,3083.39,96.51,0.0,0.0
9,2026-03-30,2026-04-06,102.37,3185.76,99.71,102.37,3185.76,99.71,0.0,0.0
10,2026-04-06,2026-04-13,9.0,3194.76,99.99,9.0,3194.76,99.99,0.0,0.0
