Semana,Periodo_Inicio,Periodo_Fin,PV_HH_Semana,PV_HH_Acumulado,PV_HH_%_Acum,EV_HH_Semana_refW09
1,2026-01-26,2026-02-01,0.0,0.0,0.0,0.0
2,2026-02-02,2026-02-08,77.14,77.14,2.41,69.76
3,2026-02-09,2026-02-15,117.85,194.99,6.1,77.33
4,2026-02-16,2026-02-22,275.5,470.49,14.73,86.89
5,2026-02-23,2026-03-01,490.96,961.45,30.09,0.0
6,2026-03-02,2026-03-08,593.96,1555.41,48.68,0.0
7,2026-03-09,2026-03-15,602.96,2158.36,67.55,0.0
8,2026-03-16,2026-03-22,569.5,2727.86,85.38,0.0
9,2026-03-23,2026-03-29,345.9,3073.76,96.21,0.0
10,2026-03-30,2026-04-05,112.0,3185.76,99.71,0.0
11,2026-04-06,2026-04-12,9.0,3194.76,99.99,0.0
