Cod. Producto,Producto,Stock Total - STOCK SUCURSAL LA CHIMBA,Stock Total - TERRENO,Disponible - STOCK SUCURSAL LA CHIMBA,Disponible - TERRENO,Stock Total Consolidado
11086200,"HARNESS,SZ L,KEVLAR,SERVI-ALL 0020020398",0.0,2.0,0.0,2.0,2.0
A193PEHEX212,pernos hexagonal de 1 ½  x 8 hilos por pulgada x 2 ½ A193 B7,50.0,0.0,50.0,0.0,50.0
A316LGO0MY00,GOLILLA PRESION 316L 1/2in,55.0,0.0,55.0,0.0,55.0
A316LPE1C6MY,PERNO HEXAGONAL 316L 1 1/4`` X 6 1/2'',368.0,0.0,368.0,0.0,368.0
BCACHCN03NN0,CAUCHO NATURAL 03MM -  DUREZA 60,258.0,0.0,258.0,0.0,258.0
BCACHCN06NN0,CAUCHO NATURAL 06MM -  DUREZA 60,366.0,0.0,366.0,0.0,366.0
BCACHCN12NN0,CAUCHO NATURAL 12MM -  DUREZA 60,318.0,0.0,318.0,0.0,318.0
BCACHNE03NN0,CAUCHO NEOPRENO  03MM,86.0,0.0,86.0,0.0,86.0
BCACHNE06NN0,CAUCHO NEOPRENO  06MM,488.0,0.0,488.0,0.0,488.0
BCEALCE55S00,"PLACA CERAMICA S 11,55xT13mm",418.0,0.0,418.0,0.0,418.0
BCEALMM25150,CERAMICA  ALTALUMINA 150X25X25 MM,480.0,0.0,480.0,0.0,480.0
BCEALMM35353,CERAMICA  ALTALUMINA 35X35X35 MM,6480.0,0.0,6480.0,0.0,6480.0
BCEALUMM0621,PLACA CERAMICA 150X50X25mm 92% AL2O3,1792.0,0.0,1792.0,0.0,1792.0
C1020PE10S34,PERNO ANCLAJE 3/4,28.0,0.0,28.0,0.0,28.0
CA036FL14Z17,FLANGE A-105 CL 150 LB SLIP-ON 14in,4.0,0.0,4.0,0.0,4.0
CA036GO0EYOO,GOLILLA PRESION  5/8in,282.0,0.0,282.0,0.0,282.0
CA036GO0QY00,GOLILLA PRESION 3/4 in,105.0,0.0,105.0,0.0,105.0
CA036PE0C3MV,TORNILLO AUTOPERFORANTE HEX1/4in X 3 1/2in  CON GOLILLA GOMA,89.0,0.0,89.0,0.0,89.0
CA036PE1CV00,TORNILLO AUTOPERFORANTE 1 1/4 CON GOLILLA,200.0,0.0,200.0,0.0,200.0
CA036TU1CY00,TUERCA HEXAGONAL DE 1 3/4 in,45.0,0.0,45.0,0.0,45.0
CA036TUOEZOO,TUERCA HEX  5/8 in,321.0,0.0,321.0,0.0,321.0
CA053CN2MT00,CAÑERIA A-106 2 1/2 in SCH80,6.0,0.0,6.0,0.0,6.0
CA105FL02X00,FLANGE A-105 02in CIEGO CL 150 LBS RF,1.0,0.0,1.0,0.0,1.0
CA105FL02Z17,FLANGE A-105  02in SLIP ON RF CLASE 150lb,7.0,0.0,7.0,0.0,7.0
CA105FL03Z17,FLANGE A-105  03in SLIP ON RF CLASE 150lb,9.0,0.0,9.0,0.0,9.0
CA105FL04X00,FLANGE A-105 04in CIEGO CL 150 LBS,2.0,0.0,2.0,0.0,2.0
CA105FL06X00,FLANGE A-105 06in CIEGO CL 150 LBS RF,7.0,0.0,7.0,0.0,7.0
CA105FL08X00,FLANGE A-105 08in CIEGO CL 150 LBS RF,2.0,0.0,2.0,0.0,2.0
CA105FL08Z17,FLANGE A-105  08in SLIP ON RF CLASE 150lb,12.0,0.0,12.0,0.0,12.0
CA105FL10Z17,FLANGE A-105 CL 150 LB SLIP-ON 10in,20.0,0.0,20.0,0.0,20.0
CA105FL12Z17,FLANGE A-105 CL 150 LB SLIP-ON 12in,9.0,0.0,9.0,0.0,9.0
CA105FL2MZ17,FLANGE A-105  2 1/2 in SLIP ON RF CLASE 150lb,1.0,0.0,1.0,0.0,1.0
CA105FLWN300,FLANGE WN A-105 3 in CL 300 RF SCH-XS,1.0,0.0,1.0,0.0,1.0
CA2344C06W04,CODO 45º RL 06in SCH40,1.0,0.0,1.0,0.0,1.0
CA23493D3W45,CODO 3D 45° RL 3in  STD,1.0,0.0,1.0,0.0,1.0
CA23493D4W90,CODO 3D 90° RL 4in  STD,3.0,0.0,3.0,0.0,3.0
CA23493D6W45,CODO 3D 45° RL 6in  STD,6.0,0.0,6.0,0.0,6.0
CA23493D6W90,CODO 3D 90° RL 6in  STD,14.0,0.0,14.0,0.0,14.0
CA23493D8W45,CODO 3D 45° RL 8in  STD,1.0,0.0,1.0,0.0,1.0
CA23495D4W45,CODO 5D 45° RL 4in  STD,1.0,0.0,1.0,0.0,1.0
CA23495D4W90,CODO 5D 90° RL 4in  STD,1.0,0.0,1.0,0.0,1.0
CA2349C03W13,CODO 90° RL 3in SCH40,35.0,0.0,35.0,0.0,35.0
CA2349C06W04,CODO 90º RL 06in SCH40,19.0,0.0,19.0,0.0,19.0
CA2349C08W04,CODO 90° RC 8 in SCH 40,1.0,0.0,1.0,0.0,1.0
CA2349C10W04,CODO 90º RL 10in SCH40,21.0,0.0,21.0,0.0,21.0
CA2349C14W04,CODO 90º RL 14in SCH 40,10.0,0.0,10.0,0.0,10.0
CA234C38W004,CODO 90º RC 4in SCH 40,8.0,0.0,8.0,0.0,8.0
CA234ER06W03,REDUCCION EXCENTRICA A-234 06in X 03in SCH40,1.0,0.0,1.0,0.0,1.0
CA234ER06W04,REDUCCION EXCENTRICA A-234 06in X 04in SCH40,1.0,0.0,1.0,0.0,1.0
CA234RC10W08,REDUCCIÓN CONCENTRICA  10in - 08in WELDING SCH14,2.0,0.0,2.0,0.0,2.0
CA234TE03000,TEE RECTA 3 in A234 SCH 40,7.0,0.0,7.0,0.0,7.0
CA234TE06000,TEE RECTA 6 in A-234 SCH40,5.0,0.0,5.0,0.0,5.0
CA234TE14W04,TEE RECTA 14 in A-234 SCH40,1.0,0.0,1.0,0.0,1.0
CA234TEEA403,TEE RECTA 4 in A-234 SCH 40,4.0,0.0,4.0,0.0,4.0
CA234TR08W06,TEE REDUCCION A-234 08in X 6in SCH40,2.0,0.0,2.0,0.0,2.0
CA234TR14W10,REDUCCION CONCENTRICA A-234 14 in X 10i n SCH40,1.0,0.0,1.0,0.0,1.0
CA234TRC4212,REDUCCION CONCENTRICA A-234 SCH-40 4X2  1/2,1.0,0.0,1.0,0.0,1.0
CA325PES2MY0,PERNO HEXAGONAL A-325 7/8 X 2 1/2'',297.0,0.0,297.0,0.0,297.0
E100AN000005,CASQUETE PORTAVISOR CON ARNES CABEZA PARA PANTALLA 8 X 16,2.0,0.0,2.0,0.0,2.0
E100AN000006,MICA PARA PULIR 8 X 16 CLARO BORDE ALUMINIO,0.0,30.0,0.0,30.0,30.0
E100CA000001,CASCO DE SEGURIDAD,6.0,0.0,6.0,0.0,6.0
E100F1003M07,FILTRO 2091 (P100) - 3M CONTRA PARTICULAS,183.0,0.0,183.0,0.0,183.0
E100FI000009,FILTRO AIR F200CP3 - CONTRA PARTICULAS Y VAPORES,6.0,0.0,6.0,0.0,6.0
E100FI003M04,FILTRO 60923 3M / F600VGP3 AIR - CONTRA GASES Y VAPORES,6.0,0.0,6.0,0.0,6.0
E100FI0M0001,RESPIRADOR MEDIO ROSTRO,10.0,0.0,10.0,0.0,10.0
E100LE000002,LENTES OSCUROS,4.0,0.0,4.0,0.0,4.0
E100PA000003,TAPON AUDITIVO REUTILIZABLE,224.0,0.0,224.0,0.0,224.0
E100PA003M02,TAPON AUDITIVO ESPUMA - 3 M,41.0,0.0,41.0,0.0,41.0
E100VD000002,VIDRIO SOLDADOR NEGRO,525.0,0.0,525.0,0.0,525.0
E100VD000007,PACK VISORES MASCARA DE SOLDAR STEELPRO,37.0,30.0,37.0,30.0,67.0
E100VD000010,MASCARA DE SOLDAR,24.0,0.0,24.0,0.0,24.0
E100VDBLAC01,VIDRIO SOLDADOR TRANSPARENTE - MASCARA NORMAL,763.0,0.0,763.0,0.0,763.0
E100VDNEGR10,VIDRIO SOLDADOR NEGRO GRADO 10,86.0,0.0,86.0,0.0,86.0
E100VDNEGR12,VIDRIO SOLDADOR NEGRO GRADO 12,95.0,0.0,95.0,0.0,95.0
E100VDOPTE03,MASCARA DE SOLDAR FOTOSENSIBLE STEELPRO OPTECH,1.0,0.0,1.0,0.0,1.0
E200GU000007,GUANTE DE NITRILO VERDE,100.0,0.0,100.0,0.0,100.0
E200GUANCO16,GUANTES ANTI CORTES,6.0,0.0,6.0,0.0,6.0
E200GUNNNN06,GUANTES DE NITRILO - GOMA,7.0,0.0,7.0,0.0,7.0
E200GUOOOOO4,GUANTES DE CABRITILLA  PUÑO LARGO,8.0,36.0,8.0,36.0,44.0
E200GUPROM01,GUANTES DE CABRITILLA PUÑO CORTO,50.0,0.0,50.0,0.0,50.0
E200GUPROM10,GUANTE SOLDADOR ROJO,19.0,0.0,19.0,0.0,19.0
E200GUSOLAZU,GUANTES SOLDADOR,15.0,0.0,15.0,0.0,15.0
E300BUNNNN05,OVEROL TELE ANTIACIDA,4.0,0.0,4.0,0.0,4.0
E300CQWORK03,IN - CHAQUETA POLAR VARON,2.0,0.0,2.0,0.0,2.0
E400BUBLAC03,BUZO PAPEL BLANCO,31.0,0.0,31.0,0.0,31.0
E400CM000006,CAMISA MEZCLILLA VARON,90.0,0.0,90.0,0.0,90.0
E400PC00XXL4,CONJUNTO PRIMERA CAPA POLIESTER T/XXL,2.0,0.0,2.0,0.0,2.0
E400SDALFA01,PANTALON SOLDADOR CUERO,12.0,0.0,12.0,0.0,12.0
E400SDKEVL04,COLETO DE CUERO,5.0,0.0,5.0,0.0,5.0
E400SDMAOT01,CHAQUETA SOLDADOR CUERO MAO TENMIX,3.0,0.0,3.0,0.0,3.0
E500BLLOCK01,CANDADO BLOQUEO AMERICAN LOCK,6.0,0.0,6.0,0.0,6.0
E500OTRODI19,RODILLERA,5.0,0.0,5.0,0.0,5.0
H200EL000017,TALADRO INALAMBRICO,1.0,0.0,1.0,0.0,1.0
H200ELESCM00,ESCAREADOR NEUMATICO PARA LIMPIENZA DE SALPICADURA DE SOLD.,1.0,0.0,1.0,0.0,1.0
H300RGAR0000,REGULADOR ARGON,8.0,0.0,8.0,0.0,8.0
H300RM000006,LINER MIG 1.2 - 1.6,6.0,0.0,6.0,0.0,6.0
H300RM000043,VALVULA ANTIRRETROCESO REGULADOR GAS,2.0,0.0,2.0,0.0,2.0
H300RM000044,VALVULA ANTIRRETROCESO REGULADOR OXIGENO,2.0,0.0,2.0,0.0,2.0
H300RM000045,VALVULA ANTIRRETROCESO SOPLETE GAS,1.0,0.0,1.0,0.0,1.0
H300RM4M0002,JUEGO DE CARBONES ESMERIL ANGULAR 4 1/2 - DEWALT,0.0,10.0,0.0,10.0,10.0
H300RMELEC33,PORTA ELECTRODO 300 AMP,6.0,0.0,6.0,0.0,6.0
H300RMINTDIF,INTERRUPTOR DIFERENCIAL 25A AC 30MA,4.0,0.0,4.0,0.0,4.0
H300RPCIMT01,REGULADOR FLUJOMETRO OXIGENO,7.0,0.0,7.0,0.0,7.0
H300RPCIMT37,REGULADOR MANOMETRO PROPANO,15.0,0.0,15.0,0.0,15.0
H400MANGUPQS,MANGUERA PQS,45.0,0.0,45.0,0.0,45.0
H400MQ000007,PUENTE GRUA 10 TONELADAS,4.0,0.0,4.0,0.0,4.0
H400MQ000022,PISTOLA MIG,2.0,0.0,2.0,0.0,2.0
H400MQ000037,BOMBA HIDRAULICA HY230 CN ENFRIADOR HY230*HYTORC,1.0,0.0,1.0,0.0,1.0
H400MQHYTO40,LLAVE TORQUE HYTORC CUADRANTE 1´´,1.0,0.0,1.0,0.0,1.0
H400MQSKIL33,SIERRA CIRCULAR 7 1/4,3.0,0.0,3.0,0.0,3.0
