Cod. Producto,Producto,Cod. U. Medida,Stock - STOCK CASA MATRIZ,Stock - STOCK SUCURSAL LA CHIMBA,Stock Total Consolidado,Costo Unit.,Costo Total
A193PEHEX212,pernos hexagonal de 1 ½  x 8 hilos por pulgada x 2 ½ A193 B7,UN,0.0,50.0,50.0,18500.0,925000.0
A304LPE81200,PERNO ALLEN 304 8 X 12 MM,UN,1.0,0.0,1.0,452.0,452.0
A316LES0QS00,ESPARRAGO 316L 3/4in,,66.0,0.0,66.0,15932.0,1051512.0
A316LFT0EZFJ,ASPERSOR FLAT JET NOZ ST.STL  COD:3/8P-SS5025,UN,29.0,0.0,29.0,20000.0,580000.0
A316LGO0MY00,GOLILLA PRESION 316L 1/2in,UN,0.0,55.0,55.0,32.0,1760.0
A316LPE0M1MY,PERNO HEX. 316L 1/2 X 1 1/2'',UN,308.0,0.0,308.0,399.0,122892.0
A316LPE1C6MY,PERNO HEXAGONAL 316L 1 1/4`` X 6 1/2'',UN,0.0,368.0,368.0,484.0,178112.0
BCACHCN03NN0,CAUCHO NATURAL 03MM -  DUREZA 60,KG,0.0,258.0,258.0,3600.0,928800.0
BCACHCN06NN0,CAUCHO NATURAL 06MM -  DUREZA 60,KG,0.0,366.0,366.0,3600.0,1317600.0
BCACHCN12NN0,CAUCHO NATURAL 12MM -  DUREZA 60,KG,0.0,318.0,318.0,0.0,0.0
BCACHNE03NN0,CAUCHO NEOPRENO  03MM,KG,0.0,86.0,86.0,0.0,0.0
BCACHNE06NN0,CAUCHO NEOPRENO  06MM,KG,0.0,488.0,488.0,0.0,0.0
BCEALCE55S00,"PLACA CERAMICA S 11,55xT13mm",UN,0.0,418.0,418.0,0.0,0.0
BCEALMM25150,CERAMICA  ALTALUMINA 150X25X25 MM,UN,0.0,480.0,480.0,0.0,0.0
BCEALMM35353,CERAMICA  ALTALUMINA 35X35X35 MM,UN,0.0,6480.0,6480.0,0.0,0.0
BCEALUMM0621,PLACA CERAMICA 150X50X25mm 92% AL2O3,UN,0.0,1792.0,1792.0,0.0,0.0
BCOBRBR01X00,BARRA COBRE  Ø 1  x 3 mts,UN,1.0,0.0,1.0,215300.0,215300.0
BCOBRBR25XOO,BARRA DE COBRE REDONDA 25 MM,MT,3.0,0.0,3.0,52667.0,158001.0
BCOBRBR25YOO,BARRA DE COBRE CUADRADA  25 MM,MT,1.0,0.0,1.0,60990.0,60990.0
BZINCPL05S00,PANEL CN-4 0.5 X 1000 X 6000,UN,2.0,0.0,2.0,15265800.0,30531600.0
C1020PE10S34,PERNO ANCLAJE 3/4,UN,0.0,28.0,28.0,2013.0,56364.0
CA036FL14Z17,FLANGE A-105 CL 150 LB SLIP-ON 14in,UN,0.0,4.0,4.0,137222.62,548890.0
CA036GO0EYOO,GOLILLA PRESION  5/8in,UN,0.0,282.0,282.0,60.06,16938.0
CA036GO0MZ02,GOLILLA PLANA DE 2 in,UN,116.0,0.0,116.0,3000.0,348000.0
CA036GO0QY00,GOLILLA PRESION 3/4 in,UN,0.0,105.0,105.0,61.97,6507.0
CA036PE08MV0,TORNILLO AUTOPERFORANTE 8 X 1/2,UN,89.0,0.0,89.0,8765.54,780133.0
CA036PE0C3MV,TORNILLO AUTOPERFORANTE HEX1/4in X 3 1/2in  CON GOLILLA GOMA,UN,0.0,89.0,89.0,39.0,3471.0
CA036PE0QX10,PERNO ANCLAJE  3/4 X 10'',UN,38.0,0.0,38.0,3495.0,132810.0
CA036PE1CV00,TORNILLO AUTOPERFORANTE 1 1/4 CON GOLILLA,UN,0.0,200.0,200.0,39.0,7800.0
CA036TU0020Z,TUERCA HEXAGONAL 2in NEGRA,UN,85.0,0.0,85.0,5495.0,467075.0
CA036TU0SZ00,TUERCA HEXAGONAL 7/8 ZINC,UN,39.0,0.0,39.0,220.0,8580.0
CA036TU1CY00,TUERCA HEXAGONAL DE 1 3/4 in,UN,0.0,45.0,45.0,192.0,8640.0
CA036TU1MZ00,TUERCA  1 1/2,UN,6.0,0.0,6.0,1250.0,7500.0
CA036TUOEZOO,TUERCA HEX  5/8 in,UN,0.0,321.0,321.0,140.0,44940.0
CA053CN2MT00,CAÑERIA A-106 2 1/2 in SCH80,MT,0.0,6.0,6.0,7689.21,46135.0
CA105FL02X00,FLANGE A-105 02in CIEGO CL 150 LBS RF,UN,0.0,1.0,1.0,7439.5,7440.0
CA105FL02Z17,FLANGE A-105  02in SLIP ON RF CLASE 150lb,UN,0.0,7.0,7.0,5694.36,39860.0
CA105FL03Z17,FLANGE A-105  03in SLIP ON RF CLASE 150lb,UN,0.0,9.0,9.0,9839.47,88555.0
CA105FL04X00,FLANGE A-105 04in CIEGO CL 150 LBS,UN,0.0,2.0,2.0,16482.0,32964.0
CA105FL06X00,FLANGE A-105 06in CIEGO CL 150 LBS RF,UN,0.0,7.0,7.0,24537.11,171760.0
CA105FL08X00,FLANGE A-105 08in CIEGO CL 150 LBS RF,UN,0.0,2.0,2.0,94310.0,188620.0
CA105FL08Z17,FLANGE A-105  08in SLIP ON RF CLASE 150lb,UN,0.0,12.0,12.0,32080.1,384961.0
CA105FL10Z17,FLANGE A-105 CL 150 LB SLIP-ON 10in,UN,0.0,20.0,20.0,27755.87,555117.0
CA105FL12Z17,FLANGE A-105 CL 150 LB SLIP-ON 12in,UN,0.0,9.0,9.0,54861.45,493753.0
CA105FL2MZ17,FLANGE A-105  2 1/2 in SLIP ON RF CLASE 150lb,UN,0.0,1.0,1.0,8668.17,8668.0
CA105FLWN300,FLANGE WN A-105 3 in CL 300 RF SCH-XS,UN,0.0,1.0,1.0,18213.0,18213.0
CA2344C06W04,CODO 45º RL 06in SCH40,UN,0.0,1.0,1.0,10016.57,10017.0
CA23493D3W45,CODO 3D 45° RL 3in  STD,UN,0.0,1.0,1.0,66954.0,66954.0
CA23493D4W90,CODO 3D 90° RL 4in  STD,UN,0.0,3.0,3.0,115870.0,347610.0
CA23493D6W45,CODO 3D 45° RL 6in  STD,UN,0.0,6.0,6.0,265207.0,1591242.0
CA23493D6W90,CODO 3D 90° RL 6in  STD,UN,0.0,14.0,14.0,255642.0,3578988.0
CA23493D8W45,CODO 3D 45° RL 8in  STD,UN,0.0,1.0,1.0,604323.0,604323.0
CA23495D4W45,CODO 5D 45° RL 4in  STD,UN,0.0,1.0,1.0,156515.0,156515.0
CA23495D4W90,CODO 5D 90° RL 4in  STD,UN,0.0,1.0,1.0,149559.0,149559.0
CA2349C03W13,CODO 90° RL 3in SCH40,UN,0.0,35.0,35.0,6603.47,231122.0
CA2349C06W04,CODO 90º RL 06in SCH40,UN,0.0,19.0,19.0,23430.0,445170.0
CA2349C08W04,CODO 90° RC 8 in SCH 40,UN,0.0,1.0,1.0,35525.0,35525.0
CA2349C10W04,CODO 90º RL 10in SCH40,UN,0.0,21.0,21.0,86689.52,1820480.0
CA2349C14W04,CODO 90º RL 14in SCH 40,UN,0.0,10.0,10.0,124846.85,1248468.0
CA234C38W004,CODO 90º RC 4in SCH 40,UN,0.0,8.0,8.0,10896.0,87168.0
CA234ER06W03,REDUCCION EXCENTRICA A-234 06in X 03in SCH40,UN,0.0,1.0,1.0,10387.0,10387.0
CA234ER06W04,REDUCCION EXCENTRICA A-234 06in X 04in SCH40,UN,0.0,1.0,1.0,8844.0,8844.0
CA234RC10W08,REDUCCIÓN CONCENTRICA  10in - 08in WELDING SCH14,UN,0.0,2.0,2.0,22067.0,44134.0
CA234TE03000,TEE RECTA 3 in A234 SCH 40,UN,0.0,7.0,7.0,9635.0,67445.0
CA234TE06000,TEE RECTA 6 in A-234 SCH40,UN,0.0,5.0,5.0,23496.83,117484.0
CA234TE14W04,TEE RECTA 14 in A-234 SCH40,UN,0.0,1.0,1.0,130752.0,130752.0
CA234TEEA403,TEE RECTA 4 in A-234 SCH 40,UN,0.0,4.0,4.0,12886.0,51544.0
CA234TR08W06,TEE REDUCCION A-234 08in X 6in SCH40,UN,0.0,2.0,2.0,17665.0,35330.0
CA234TR14W10,REDUCCION CONCENTRICA A-234 14 in X 10i n SCH40,UN,0.0,1.0,1.0,59786.0,59786.0
CA234TRC4212,REDUCCION CONCENTRICA A-234 SCH-40 4X2  1/2,UN,0.0,1.0,1.0,5047.0,5047.0
CA325PES2MY0,PERNO HEXAGONAL A-325 7/8 X 2 1/2'',UN,0.0,297.0,297.0,387.0,114939.0
CAZINES0QS34,ESPARRAGO 3/4 ZINCADO ,MT,66.0,0.0,66.0,3825.0,252450.0
CF436GOSQS01,GOLILLA PLANA F-436 1,UN,20.0,0.0,20.0,196.0,3920.0
CGR02TU0ZI00,TUERCA HEXAGONAL  G°2  3/4 in ZINC,UN,295.0,0.0,295.0,9552.0,2817840.0
CGR02TU0ZI58,TUERCA HEXAGONAL  G°2  5/8 in ZINC,UN,200.0,0.0,200.0,395.0,79000.0
E100ALKEVL04,ARNES 4 ARGOLLAS DE KEVLAR MSA,UN,5.0,0.0,5.0,107900.0,539500.0
E100AN000005,CASQUETE PORTAVISOR CON ARNES CABEZA PARA PANTALLA 8 X 16,,5.0,2.0,7.0,1808.87,12662.0
E100ANVISO06,VISOR 8X16 CLARO BORDE ALUMINIO,UN,268.0,0.0,268.0,2650.0,710200.0
E100BS000003,PUNTERAS DE SEGURIDAD,PR,1.0,0.0,1.0,12385.0,12385.0
E100CA000001,CASCO DE SEGURIDAD,UN,0.0,6.0,6.0,4643.18,27859.0
E100CAPROT03,CASCO BLANCO PROSEG,UN,2.0,0.0,2.0,1283.0,2566.0
E100CASMAU08,PROTECTOR AUDITIVO P/CASCO,UN,7.0,0.0,7.0,6136.32,42954.0
E100F1003M07,FILTRO 2091 (P100) - 3M CONTRA PARTICULAS,UN,0.0,183.0,183.0,7084.35,1296437.0
E100FI000009,FILTRO AIR F200CP3 - CONTRA PARTICULAS Y VAPORES,UN,0.0,6.0,6.0,5411.6,32470.0
E100FI003M04,FILTRO 60923 3M / F600VGP3 AIR - CONTRA GASES Y VAPORES,UN,0.0,6.0,6.0,5255.96,31536.0
E100FI0M0001,RESPIRADOR MEDIO ROSTRO,UN,8.0,10.0,18.0,24530.31,441545.0
