Cod. Producto,Producto,Stock - STOCK CASA MATRIZ,Stock - STOCK SUCURSAL LA CHIMBA,Stock - TERRENO,Stock Total Consolidado
11086200,"HARNESS,SZ L,KEVLAR,SERVI-ALL 0020020398",0.0,0.0,2.0,2.0
A193PEHEX212,pernos hexagonal de 1 ½  x 8 hilos por pulgada x 2 ½ A193 B7,0.0,50.0,0.0,50.0
A304LPE81200,PERNO ALLEN 304 8 X 12 MM,1.0,0.0,0.0,1.0
A316LES0QS00,ESPARRAGO 316L 3/4in,66.0,0.0,0.0,66.0
A316LFT0EZFJ,ASPERSOR FLAT JET NOZ ST.STL  COD:3/8P-SS5025,29.0,0.0,0.0,29.0
A316LGO0MY00,GOLILLA PRESION 316L 1/2in,0.0,55.0,0.0,55.0
A316LPE0M1MY,PERNO HEX. 316L 1/2 X 1 1/2'',308.0,0.0,0.0,308.0
A316LPE1C6MY,PERNO HEXAGONAL 316L 1 1/4`` X 6 1/2'',0.0,368.0,0.0,368.0
BCACHCN03NN0,CAUCHO NATURAL 03MM -  DUREZA 60,0.0,258.0,0.0,258.0
BCACHCN06NN0,CAUCHO NATURAL 06MM -  DUREZA 60,0.0,366.0,0.0,366.0
BCACHCN12NN0,CAUCHO NATURAL 12MM -  DUREZA 60,0.0,318.0,0.0,318.0
BCACHNE03NN0,CAUCHO NEOPRENO  03MM,0.0,86.0,0.0,86.0
BCACHNE06NN0,CAUCHO NEOPRENO  06MM,0.0,488.0,0.0,488.0
BCEALCE55S00,"PLACA CERAMICA S 11,55xT13mm",0.0,418.0,0.0,418.0
BCEALMM25150,CERAMICA  ALTALUMINA 150X25X25 MM,0.0,480.0,0.0,480.0
BCEALMM35353,CERAMICA  ALTALUMINA 35X35X35 MM,0.0,6480.0,0.0,6480.0
BCEALUMM0621,PLACA CERAMICA 150X50X25mm 92% AL2O3,0.0,1792.0,0.0,1792.0
BCOBRBR01X00,BARRA COBRE  Ø 1  x 3 mts,1.0,0.0,0.0,1.0
BCOBRBR25XOO,BARRA DE COBRE REDONDA 25 MM,3.0,0.0,0.0,3.0
BCOBRBR25YOO,BARRA DE COBRE CUADRADA  25 MM,1.0,0.0,0.0,1.0
BZINCPL05S00,PANEL CN-4 0.5 X 1000 X 6000,2.0,0.0,0.0,2.0
C1020PE10S34,PERNO ANCLAJE 3/4,0.0,28.0,0.0,28.0
CA036FL14Z17,FLANGE A-105 CL 150 LB SLIP-ON 14in,0.0,4.0,0.0,4.0
CA036GO0EYOO,GOLILLA PRESION  5/8in,0.0,282.0,0.0,282.0
CA036GO0MZ02,GOLILLA PLANA DE 2 in,116.0,0.0,0.0,116.0
CA036GO0QY00,GOLILLA PRESION 3/4 in,0.0,105.0,0.0,105.0
CA036PE08MV0,TORNILLO AUTOPERFORANTE 8 X 1/2,89.0,0.0,0.0,89.0
CA036PE0C3MV,TORNILLO AUTOPERFORANTE HEX1/4in X 3 1/2in  CON GOLILLA GOMA,0.0,89.0,0.0,89.0
CA036PE0QX10,PERNO ANCLAJE  3/4 X 10'',38.0,0.0,0.0,38.0
CA036PE1CV00,TORNILLO AUTOPERFORANTE 1 1/4 CON GOLILLA,0.0,200.0,0.0,200.0
CA036TU0020Z,TUERCA HEXAGONAL 2in NEGRA,85.0,0.0,0.0,85.0
CA036TU0SZ00,TUERCA HEXAGONAL 7/8 ZINC,39.0,0.0,0.0,39.0
CA036TU1CY00,TUERCA HEXAGONAL DE 1 3/4 in,0.0,45.0,0.0,45.0
CA036TU1MZ00,TUERCA  1 1/2,6.0,0.0,0.0,6.0
CA036TUOEZOO,TUERCA HEX  5/8 in,0.0,321.0,0.0,321.0
CA053CN2MT00,CAÑERIA A-106 2 1/2 in SCH80,0.0,6.0,0.0,6.0
CA105FL02X00,FLANGE A-105 02in CIEGO CL 150 LBS RF,0.0,1.0,0.0,1.0
CA105FL02Z17,FLANGE A-105  02in SLIP ON RF CLASE 150lb,0.0,7.0,0.0,7.0
CA105FL03Z17,FLANGE A-105  03in SLIP ON RF CLASE 150lb,0.0,9.0,0.0,9.0
CA105FL04X00,FLANGE A-105 04in CIEGO CL 150 LBS,0.0,2.0,0.0,2.0
CA105FL06X00,FLANGE A-105 06in CIEGO CL 150 LBS RF,0.0,7.0,0.0,7.0
CA105FL08X00,FLANGE A-105 08in CIEGO CL 150 LBS RF,0.0,2.0,0.0,2.0
CA105FL08Z17,FLANGE A-105  08in SLIP ON RF CLASE 150lb,0.0,12.0,0.0,12.0
CA105FL10Z17,FLANGE A-105 CL 150 LB SLIP-ON 10in,0.0,20.0,0.0,20.0
CA105FL12Z17,FLANGE A-105 CL 150 LB SLIP-ON 12in,0.0,9.0,0.0,9.0
CA105FL2MZ17,FLANGE A-105  2 1/2 in SLIP ON RF CLASE 150lb,0.0,1.0,0.0,1.0
CA105FLWN300,FLANGE WN A-105 3 in CL 300 RF SCH-XS,0.0,1.0,0.0,1.0
CA2344C06W04,CODO 45º RL 06in SCH40,0.0,1.0,0.0,1.0
CA23493D3W45,CODO 3D 45° RL 3in  STD,0.0,1.0,0.0,1.0
CA23493D4W90,CODO 3D 90° RL 4in  STD,0.0,3.0,0.0,3.0
CA23493D6W45,CODO 3D 45° RL 6in  STD,0.0,6.0,0.0,6.0
CA23493D6W90,CODO 3D 90° RL 6in  STD,0.0,14.0,0.0,14.0
CA23493D8W45,CODO 3D 45° RL 8in  STD,0.0,1.0,0.0,1.0
CA23495D4W45,CODO 5D 45° RL 4in  STD,0.0,1.0,0.0,1.0
CA23495D4W90,CODO 5D 90° RL 4in  STD,0.0,1.0,0.0,1.0
CA2349C03W13,CODO 90° RL 3in SCH40,0.0,35.0,0.0,35.0
CA2349C06W04,CODO 90º RL 06in SCH40,0.0,19.0,0.0,19.0
CA2349C08W04,CODO 90° RC 8 in SCH 40,0.0,1.0,0.0,1.0
CA2349C10W04,CODO 90º RL 10in SCH40,0.0,21.0,0.0,21.0
CA2349C14W04,CODO 90º RL 14in SCH 40,0.0,10.0,0.0,10.0
CA234C38W004,CODO 90º RC 4in SCH 40,0.0,8.0,0.0,8.0
CA234ER06W03,REDUCCION EXCENTRICA A-234 06in X 03in SCH40,0.0,1.0,0.0,1.0
CA234ER06W04,REDUCCION EXCENTRICA A-234 06in X 04in SCH40,0.0,1.0,0.0,1.0
CA234RC10W08,REDUCCIÓN CONCENTRICA  10in - 08in WELDING SCH14,0.0,2.0,0.0,2.0
CA234TE03000,TEE RECTA 3 in A234 SCH 40,0.0,7.0,0.0,7.0
CA234TE06000,TEE RECTA 6 in A-234 SCH40,0.0,5.0,0.0,5.0
CA234TE14W04,TEE RECTA 14 in A-234 SCH40,0.0,1.0,0.0,1.0
CA234TEEA403,TEE RECTA 4 in A-234 SCH 40,0.0,4.0,0.0,4.0
CA234TR08W06,TEE REDUCCION A-234 08in X 6in SCH40,0.0,2.0,0.0,2.0
CA234TR14W10,REDUCCION CONCENTRICA A-234 14 in X 10i n SCH40,0.0,1.0,0.0,1.0
CA234TRC4212,REDUCCION CONCENTRICA A-234 SCH-40 4X2  1/2,0.0,1.0,0.0,1.0
CA325PES2MY0,PERNO HEXAGONAL A-325 7/8 X 2 1/2'',0.0,297.0,0.0,297.0
CAZINES0QS34,ESPARRAGO 3/4 ZINCADO ,66.0,0.0,0.0,66.0
CF436GOSQS01,GOLILLA PLANA F-436 1,20.0,0.0,0.0,20.0
CGR02TU0ZI00,TUERCA HEXAGONAL  G°2  3/4 in ZINC,295.0,0.0,0.0,295.0
CGR02TU0ZI58,TUERCA HEXAGONAL  G°2  5/8 in ZINC,200.0,0.0,0.0,200.0
E100ALKEVL04,ARNES 4 ARGOLLAS DE KEVLAR MSA,5.0,0.0,0.0,5.0
