Cod. Bodega,Bodega,Cod.Grupo,Grupo,Cod. Sub Grupo,Sub Grupo,Cod. Producto,Producto,Cod. U. Medida,Disponible,Reserva,Transitoria,Consignación,Stock Total,Costo Unit.,Costo Total,Archivo Origen
SM,STOCK CASA MATRIZ,102,MADERAS,EM,EMBALAJE,IEM540CINTRB,CINTA EMBALAJE TRANSPARENTE,UN,7.0,0.0,0.0,0.0,7.0,526.0,3682.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,102,MADERAS,EM,EMBALAJE,IEM5603MNN00,CLAVO 3 1/2 PLG,KG,8.0,0.0,0.0,0.0,8.0,6431.91,51455.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : EM,,,,,,nan,,,15.0,0.0,0.0,0.0,15.0,,55137.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
Total Grupo : 102,,,,,,nan,,,15.0,0.0,0.0,0.0,15.0,,55137.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,108,PINTURAS,PN,PINTURA,IPN90043NNRU,PINTURA ESMALTE SPRAY,UN,7.0,0.0,0.0,0.0,7.0,3355.0,23485.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : PN,,,,,,nan,,,7.0,0.0,0.0,0.0,7.0,,23485.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
Total Grupo : 108,,,,,,nan,,,7.0,0.0,0.0,0.0,7.0,,23485.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,113,ELECTRICOS,EL,ELECTRICO,IEL060300W00,FOCO LED 300 WATTS- TIPO TUBO,UN,3.0,0.0,0.0,0.0,3.0,77227.0,231681.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,113,ELECTRICOS,EL,ELECTRICO,IEL13500MT00,CAJA FUERTE,UN,1.0,0.0,0.0,0.0,1.0,21900.0,21900.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,113,ELECTRICOS,EL,ELECTRICO,IEL23COINN00,INTERRUPTO CORTA CORRIENTE 24V,UN,1.0,0.0,0.0,0.0,1.0,10995.0,10995.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,113,ELECTRICOS,EL,ELECTRICO,IEL241HBRA10,TOMA DE CORRIENTE TRIPLE 10 A HEMBRA,UN,6.0,0.0,0.0,0.0,6.0,2184.87,13109.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,113,ELECTRICOS,EL,ELECTRICO,IEL320380V01,SOQUETE 32 A-380V/ PORTA FOCO,UN,3.0,0.0,0.0,0.0,3.0,2686.0,8058.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,113,ELECTRICOS,EL,ELECTRICO,IEL3363832LG,ENCHUFE MACHO VOLANTE  380 V  32A 3P+T,UN,12.0,0.0,0.0,0.0,12.0,5002.57,60031.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,113,ELECTRICOS,EL,ELECTRICO,IEL4013MTS00,ALARGADOR MULTIPLE 3MTS,UN,1.0,0.0,0.0,0.0,1.0,14058.79,14059.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,113,ELECTRICOS,EL,ELECTRICO,IEL4068930NN,CAJA CHUQUI PLASTICA SOBREPUESTA,UN,7.0,0.0,0.0,0.0,7.0,120.0,840.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,113,ELECTRICOS,EL,ELECTRICO,IEL407220VNN,ENCHUFE MULTIPLE 220V,UN,17.0,0.0,0.0,0.0,17.0,17289.31,293918.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,113,ELECTRICOS,EL,ELECTRICO,IEL407380VNN,ENCHUFE MULTIPLE 380V,UN,6.0,0.0,0.0,0.0,6.0,38213.11,229279.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,113,ELECTRICOS,EL,ELECTRICO,IEL407CONE00,CONECTOR EURO HEMBRA MIG HREAMB 1PC (MAX),UN,2.0,0.0,0.0,0.0,2.0,13809.0,27618.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,113,ELECTRICOS,EL,ELECTRICO,IEL477LED18W,FOCO EMBUTIDO LED 18 W REDONDO 6000K,UN,1.0,0.0,0.0,0.0,1.0,19016.8,19017.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,113,ELECTRICOS,EL,ELECTRICO,IEL51315NNEK,LAMPARA AHORRO ENERGÍA FL 150W E-40,UN,2.0,0.0,0.0,0.0,2.0,773.11,1546.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : EL,,,,,,nan,,,62.0,0.0,0.0,0.0,62.0,,932051.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
Total Grupo : 113,,,,,,nan,,,62.0,0.0,0.0,0.0,62.0,,932051.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,116,LAVADOS,LI,LIMPIEZA,ILI080NNNN00,CLORO,UN,11.0,0.0,0.0,0.0,11.0,4387.0,48257.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,116,LAVADOS,LI,LIMPIEZA,ILI430NNNN00,DISPENSADOR,UN,12.0,0.0,0.0,0.0,12.0,35750.0,429000.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : LI,,,,,,nan,,,23.0,0.0,0.0,0.0,23.0,,477257.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
Total Grupo : 116,,,,,,nan,,,23.0,0.0,0.0,0.0,23.0,,477257.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,118,PERNOS,,,A304LPE81200,PERNO ALLEN 304 8 X 12 MM,UN,1.0,0.0,0.0,0.0,1.0,452.0,452.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,118,PERNOS,,,A316LPE0M1MY,PERNO HEX. 316L 1/2 X 1 1/2'',UN,308.0,0.0,0.0,0.0,308.0,399.0,122892.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : Sin Sub Grupo,,,,,,nan,,,309.0,0.0,0.0,0.0,309.0,,123344.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
Total Grupo : 118,,,,,,nan,,,309.0,0.0,0.0,0.0,309.0,,123344.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,120,QUIMICOS,OT,OTROS,IOT1450NN01,PORTA TIZA MARCA METAL,UN,15.0,0.0,0.0,0.0,15.0,1990.0,29850.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,120,QUIMICOS,OT,OTROS,IOT1955000NN,AMARRAS PLASTICA  500 X 0.9 MM,UN,100.0,0.0,0.0,0.0,100.0,369.29,36929.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,120,QUIMICOS,OT,OTROS,IOT195760NN9,AMARRAS PLASTICAS  760 X 0.9 MM,UN,500.0,0.0,0.0,0.0,500.0,247.43,123715.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,120,QUIMICOS,OT,OTROS,IOT19901NN00,TEFLON 1inx0.75mm x 10Mts.,UN,59.0,0.0,0.0,0.0,59.0,1.0,59.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,120,QUIMICOS,OT,OTROS,IOT20301NN00,BROCHA ESTAMPA CERDA  1 IN,UN,1.0,0.0,0.0,0.0,1.0,617.71,618.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,120,QUIMICOS,OT,OTROS,IOT20900NN00,BOQUILLAS DE RPTO ALCOTEST DEGITAL 10UN,UN,13.0,0.0,0.0,0.0,13.0,54900.0,713700.0,SM_STOCK CASA MATRIZ.xlsx
