status,task_code,task_name,type,wbs,start,end
debería estar ejecutada,A1640,Planos de Fabricacin,TT_Task,Suministro conjuntos sistema de agua de lavado,2026-02-02 08:00,2026-02-13 18:00
debería estar ejecutada,A1660,Suminstro de Materiales,TT_Task,Suministro conjuntos sistema de agua de lavado,2026-02-05 08:00,2026-02-18 18:00
debería estar ejecutada,A2650,Corte y Fabricacin de Vigas y Perfil Z,TT_Task,Bastidor,2026-02-13 08:00,2026-02-20 18:00
debería estar ejecutada,A2660,Corte y Fabricacin de Consoldas Exteriores,TT_Task,Bastidor,2026-02-13 08:00,2026-02-16 18:00
debería estar ejecutada,A2750,"Corte, perforado y conformado (fabricacin del cuerpo) SS316L",TT_Task,Bandeja Perimetral (12 Un),2026-02-16 08:00,2026-02-19 18:00
debería estar ejecutada,A2890,"Corte, perforado y conformado (fabricacin del cuerpo) SS316L",TT_Task,Bandeja Central (12 Un),2026-02-16 08:00,2026-02-19 18:00
debería estar ejecutada,A2670,Corte y Fabricacin de Consoldas Centrales,TT_Task,Bastidor,2026-02-17 08:00,2026-02-18 18:00
debería estar en proceso,A2800,Fabricacin Baranda radial removible,TT_Task,Barandas (16 Un),2026-02-18 08:00,2026-02-26 18:00
debería estar ejecutada,A2680,"Corte y Fabricacin Distribuidor 8""""",TT_Task,Bastidor,2026-02-19 08:00,2026-02-20 18:00
debería estar en proceso,A2760,Cilindrado (fabricacin del cuerpo) SS316L,TT_Task,Bandeja Perimetral (12 Un),2026-02-20 08:00,2026-02-23 18:00
debería estar en proceso,A2850,Fabricacin del cuerpo central (spool/cabezal),TT_Task,Manifold Distribuidor,2026-02-20 08:00,2026-02-23 18:00
debería estar en proceso,A2900,Cilindrado (fabricacin del cuerpo) SS316L,TT_Task,Bandeja Central (12 Un),2026-02-20 08:00,2026-02-23 18:00
debería estar en proceso,A2980,Corte y Fabricacin de Vigas y Perfil Z,TT_Task,Bastidor,2026-02-20 08:00,2026-02-27 18:00
debería estar en proceso,A2990,Corte y Fabricacin de Consoldas Exteriores,TT_Task,Bastidor,2026-02-20 08:00,2026-02-23 18:00
