week,xer_value,db_value,delta_value,xer_cum,db_cum,delta_cum
2025-W29,218.4270,231.4286,13.0016,218.4270,231.4286,13.0016
2025-W30,283.1461,282.8571,-0.2890,501.5730,514.2857,12.7127
2025-W31,283.1461,282.8571,-0.2890,784.7191,797.1429,12.4238
2025-W32,622.3737,662.0730,39.6993,1407.0928,1459.2159,52.1231
2025-W33,1105.6512,1098.8756,-6.7756,2512.7440,2558.0915,45.3475
2025-W34,1444.3870,1461.7006,17.3136,3957.1310,4019.7921,62.6611
2025-W35,1518.8144,1518.0881,-0.7263,5475.9454,5537.8803,61.9349
2025-W36,1480.0589,1476.4381,-3.6208,6956.0043,7014.3184,58.3141
2025-W37,2438.3943,2511.8315,73.4372,9394.3986,9526.1499,131.7513
2025-W38,4663.8035,4731.8404,68.0369,14058.2020,14257.9902,199.7882
2025-W39,5240.4835,5286.8599,46.3764,19298.6855,19544.8502,246.1647
2025-W40,5715.3476,5719.5731,4.2255,25014.0331,25264.4233,250.3902
2025-W41,6145.9458,6190.5705,44.6247,31159.9789,31454.9938,295.0149
2025-W42,7827.5172,7841.2357,13.7185,38987.4961,39296.2295,308.7334
2025-W43,8598.2549,8650.8057,52.5508,47585.7510,47947.0352,361.2842
2025-W44,9650.8293,9706.1187,55.2894,57236.5803,57653.1538,416.5735
2025-W45,18513.1209,18520.9077,7.7868,75749.7012,76174.0615,424.3603
2025-W46,11898.9900,12072.5099,173.5199,87648.6912,88246.5714,597.8802
2025-W47,14004.6409,14042.1977,37.5568,101653.3321,102288.7691,635.4370
2025-W48,13647.5236,13581.6204,-65.9032,115300.8557,115870.3895,569.5338
2025-W49,12035.7892,11987.4642,-48.3250,127336.6450,127857.8537,521.2087
2025-W50,10058.1188,9885.0342,-173.0846,137394.7637,137742.8879,348.1242
2025-W51,12535.9659,12599.4748,63.5089,149930.7297,150342.3628,411.6331
2025-W52,12979.3414,12971.9507,-7.3907,162910.0711,163314.3135,404.2424
2026-W01,10575.1265,10481.7727,-93.3538,173485.1976,173796.0862,310.8886
2026-W02,8360.4634,8354.5796,-5.8838,181845.6609,182150.6658,305.0049
2026-W03,7555.2565,7430.4743,-124.7822,189400.9174,189581.1401,180.2227
2026-W04,5769.2919,5786.3617,17.0698,195170.2093,195367.5018,197.2925
2026-W05,4874.8247,4843.7284,-31.0963,200045.0340,200211.2303,166.1963
2026-W06,4509.1731,4479.0912,-30.0819,204554.2071,204690.3215,136.1144
2026-W07,3418.3087,3417.0808,-1.2279,207972.5158,208107.4023,134.8865
2026-W08,2754.4513,2691.0444,-63.4069,210726.9671,210798.4466,71.4795
2026-W09,1093.3791,1062.3564,-31.0227,211820.3462,211860.8031,40.4569
2026-W10,520.9749,516.3641,-4.6108,212341.3211,212377.1672,35.8461
2026-W11,526.5937,490.7476,-35.8461,212867.9148,212867.9148,0.0000
