pbix,page,visual_index,visual_type,title,entities,query_refs
Informe Agosto M.MUNIZAGA.pbix,Página 1,0,slicer,,FiltroTipo,FiltroTipo.Tipo
Informe Agosto M.MUNIZAGA.pbix,Página 1,1,slicer,,TipoAtributoRelacion,TipoAtributoRelacion.Atributo
Informe Agosto M.MUNIZAGA.pbix,Página 1,2,clusteredColumnChart,,001_Dat_Presupuesto | 002_Dat_Venta,002_Dat_Venta.Fecha Contable.Variación.Jerarquía de fechas.Mes | Sum(001_Dat_Presupuesto.Valor) | Sum(002_Dat_Venta.Valor)
Informe Agosto M.MUNIZAGA.pbix,Página 1,3,funnel,,001_Dat_Presupuesto | 002_Dat_Venta,Sum(001_Dat_Presupuesto.Valor) | Sum(002_Dat_Venta.Valor) | select
Informe Agosto M.MUNIZAGA.pbix,Página 1,4,image,,,
Informe Agosto M.MUNIZAGA.pbix,Página 1,5,textbox,,,
Informe Agosto M.MUNIZAGA.pbix,Página 1,6,image,,,
Informe Agosto M.MUNIZAGA.pbix,Página 1,7,slicer,,002_Dat_Venta,002_Dat_Venta.Fecha Contable.Variación.Jerarquía de fechas.Mes
Informe Diciembre M.MUNIZAGA.pbix,Página 1,0,slicer,,FiltroTipo,FiltroTipo.Tipo
Informe Diciembre M.MUNIZAGA.pbix,Página 1,1,slicer,,TipoAtributoRelacion,TipoAtributoRelacion.Atributo
Informe Diciembre M.MUNIZAGA.pbix,Página 1,2,clusteredColumnChart,,001_Dat_Presupuesto | 002_Dat_Venta,002_Dat_Venta.Fecha Contable.Variación.Jerarquía de fechas.Mes | Sum(001_Dat_Presupuesto.Valor) | Sum(002_Dat_Venta.Valor)
Informe Diciembre M.MUNIZAGA.pbix,Página 1,3,funnel,,001_Dat_Presupuesto | 002_Dat_Venta,Sum(001_Dat_Presupuesto.Valor) | Sum(002_Dat_Venta.Valor) | select
Informe Diciembre M.MUNIZAGA.pbix,Página 1,4,image,,,
Informe Diciembre M.MUNIZAGA.pbix,Página 1,5,textbox,,,
Informe Diciembre M.MUNIZAGA.pbix,Página 1,6,image,,,
Informe Diciembre M.MUNIZAGA.pbix,Página 1,7,slicer,,002_Dat_Venta,002_Dat_Venta.Fecha Contable.Variación.Jerarquía de fechas.Mes
Informe Diciembre M.MUNIZAGA.pbix,Página 2,0,image,,,
Informe Diciembre M.MUNIZAGA.pbix,Página 2,1,image,,,
Informe Diciembre M.MUNIZAGA.pbix,Página 2,2,textbox,,,
Informe Diciembre M.MUNIZAGA.pbix,Página 2,3,tableEx,,Indices_Financieros | Orde_de_Índice,Orde_de_Índice.NombreIndice | Sum(Indices_Financieros.Acumulado Actual (Y25)) | Sum(Indices_Financieros.Acumulado Anterior (Y24))
Informe Diciembre M.MUNIZAGA.pbix,Página 2,4,funnel,,Indices_Financieros,Sum(Indices_Financieros.Acumulado Actual (Y25)) | Sum(Indices_Financieros.Acumulado Anterior (Y24))
Informe Diciembre M.MUNIZAGA.pbix,Página 2,5,slicer,,Orde_de_Índice,Orde_de_Índice.NombreIndice
Informe Enero 2026_M.MUNIZAGA.pbix,Página 1,0,slicer,,FiltroTipo,FiltroTipo.Tipo
Informe Enero 2026_M.MUNIZAGA.pbix,Página 1,1,slicer,,TipoAtributoRelacion,TipoAtributoRelacion.Atributo
Informe Enero 2026_M.MUNIZAGA.pbix,Página 1,2,clusteredColumnChart,,001_Dat_Presupuesto | 002_Dat_Venta,002_Dat_Venta.Fecha Contable.Variación.Jerarquía de fechas.Mes | Sum(001_Dat_Presupuesto.Valor) | Sum(002_Dat_Venta.Valor)
Informe Enero 2026_M.MUNIZAGA.pbix,Página 1,3,funnel,,001_Dat_Presupuesto | 002_Dat_Venta,Sum(001_Dat_Presupuesto.Valor) | Sum(002_Dat_Venta.Valor) | select
Informe Enero 2026_M.MUNIZAGA.pbix,Página 1,4,image,,,
Informe Enero 2026_M.MUNIZAGA.pbix,Página 1,5,textbox,,,
Informe Enero 2026_M.MUNIZAGA.pbix,Página 1,6,image,,,
Informe Enero 2026_M.MUNIZAGA.pbix,Página 1,7,slicer,,002_Dat_Venta,002_Dat_Venta.Fecha Contable.Variación.Jerarquía de fechas.Mes
Informe Enero 2026_M.MUNIZAGA.pbix,Página 2,0,image,,,
Informe Enero 2026_M.MUNIZAGA.pbix,Página 2,1,image,,,
Informe Enero 2026_M.MUNIZAGA.pbix,Página 2,2,textbox,,,
Informe Enero 2026_M.MUNIZAGA.pbix,Página 2,3,tableEx,,Indices_Financieros | Orde_de_Índice,Orde_de_Índice.NombreIndice | Sum(Indices_Financieros.Acumulado Actual (Y25)) | Sum(Indices_Financieros.Acumulado Anterior (Y24))
