nombre,extension,tamano_bytes,modificado,ruta
Informe Enero 2026_M.MUNIZAGA.pbix,.pbix,199759,2026-02-25 21:00:14,"C:\Users\josej\OneDrive\002 SIMTEXX\000_Control de Porcesos\004_Informe M.Munizaga\Informe Enero 2026_M.MUNIZAGA.pbix"
Informe Mensual M.MUNIZAGA.xlsx,.xlsx,269734,2026-02-25 20:58:35,"C:\Users\josej\OneDrive\002 SIMTEXX\000_Control de Porcesos\004_Informe M.Munizaga\Informe Mensual M.MUNIZAGA.xlsx"
Informe Mensual M.MUNIZAGA - Diciembre.xlsx,.xlsx,310129,2026-02-25 20:58:05,"C:\Users\josej\OneDrive\002 SIMTEXX\000_Control de Porcesos\004_Informe M.Munizaga\Informe Mensual M.MUNIZAGA - Diciembre.xlsx"
Informe Mensual M.MUNIZAGA_backup_pre_fix.xlsx,.xlsx,280169,2026-02-25 20:20:59,"C:\Users\josej\OneDrive\002 SIMTEXX\000_Control de Porcesos\004_Informe M.Munizaga\Informe Mensual M.MUNIZAGA_backup_pre_fix.xlsx"
Informe Diciembre M.MUNIZAGA.pbix,.pbix,208559,2026-01-27 16:06:56,"C:\Users\josej\OneDrive\002 SIMTEXX\000_Control de Porcesos\004_Informe M.Munizaga\Informe Diciembre M.MUNIZAGA.pbix"
Informe Mensual M.MUNIZAGA - Noviembre.xlsx,.xlsx,352297,2026-01-27 15:55:55,"C:\Users\josej\OneDrive\002 SIMTEXX\000_Control de Porcesos\004_Informe M.Munizaga\Informe Mensual M.MUNIZAGA - Noviembre.xlsx"
Informe Noviembre M.MUNIZAGA.pbix,.pbix,205359,2025-12-15 13:27:22,"C:\Users\josej\OneDrive\002 SIMTEXX\000_Control de Porcesos\004_Informe M.Munizaga\Informe Noviembre M.MUNIZAGA.pbix"
Informe Mensual M.MUNIZAGA - Octubre.xlsx,.xlsx,334969,2025-12-15 13:25:41,"C:\Users\josej\OneDrive\002 SIMTEXX\000_Control de Porcesos\004_Informe M.Munizaga\Informe Mensual M.MUNIZAGA - Octubre.xlsx"
Informe Octubre M.MUNIZAGA.pbix,.pbix,206652,2025-11-19 17:11:15,"C:\Users\josej\OneDrive\002 SIMTEXX\000_Control de Porcesos\004_Informe M.Munizaga\Informe Octubre M.MUNIZAGA.pbix"
Informe Mensual M.MUNIZAGA - Septiembre.xlsx,.xlsx,329315,2025-11-19 15:42:36,"C:\Users\josej\OneDrive\002 SIMTEXX\000_Control de Porcesos\004_Informe M.Munizaga\Informe Mensual M.MUNIZAGA - Septiembre.xlsx"
Informe Septiembre M.MUNIZAGA.pbix,.pbix,184200,2025-10-20 10:51:30,"C:\Users\josej\OneDrive\002 SIMTEXX\000_Control de Porcesos\004_Informe M.Munizaga\Informe Septiembre M.MUNIZAGA.pbix"
Informe Agosto M.MUNIZAGA.pbix,.pbix,184073,2025-09-17 16:30:26,"C:\Users\josej\OneDrive\002 SIMTEXX\000_Control de Porcesos\004_Informe M.Munizaga\Informe Agosto M.MUNIZAGA.pbix"
Informe Mensual M.MUNIZAGA - copia (2).xlsx,.xlsx,303551,2025-09-17 14:26:31,"C:\Users\josej\OneDrive\002 SIMTEXX\000_Control de Porcesos\004_Informe M.Munizaga\Informe Mensual M.MUNIZAGA - copia (2).xlsx"
Informe Mensual M.MUNIZAGA - copia.xlsx,.xlsx,304499,2025-09-17 14:10:58,"C:\Users\josej\OneDrive\002 SIMTEXX\000_Control de Porcesos\004_Informe M.Munizaga\Informe Mensual M.MUNIZAGA - copia.xlsx"
Presupuesto 2025 Simtexx Junio 2025.xlsx,.xlsx,332984,2025-09-17 13:49:29,"C:\Users\josej\OneDrive\002 SIMTEXX\000_Control de Porcesos\004_Informe M.Munizaga\Presupuesto 2025 Simtexx Junio 2025.xlsx"
LM AGOSTO.xlsx,.xlsx,45888,2025-09-17 09:16:50,"C:\Users\josej\OneDrive\002 SIMTEXX\000_Control de Porcesos\004_Informe M.Munizaga\LM AGOSTO.xlsx"
Informe M.MUNIZAGA.pbix,.pbix,185070,2025-08-13 17:32:39,"C:\Users\josej\OneDrive\002 SIMTEXX\000_Control de Porcesos\004_Informe M.Munizaga\Informe M.MUNIZAGA.pbix"
Resumen LM.xlsx,.xlsx,196988,2025-08-12 15:10:47,"C:\Users\josej\OneDrive\002 SIMTEXX\000_Control de Porcesos\004_Informe M.Munizaga\Resumen LM.xlsx"
JULIO PRUEBA.xlsx,.xlsx,120831,2025-08-12 12:54:20,"C:\Users\josej\OneDrive\002 SIMTEXX\000_Control de Porcesos\004_Informe M.Munizaga\JULIO PRUEBA.xlsx"
